title,region,edition,xboxid,pubid,gameid,discid,regionid
,,,,BS,003,,
Pirates of the Caribbean,USA,Original,BS00401A,BS,004,01,A
Pirates of the Caribbean,Europe,Original,BS00402E,BS,004,02,E
The Elder Scrolls III: Morrowind: Game of the Year Edition,,,,BS,005,01,
The Elder Scrolls III: Morrowind: Game of the Year Edition,,,,BS,005,02,
The Elder Scrolls III: Morrowind: Game of the Year Edition,USA,Platinum Hits,BS00503A,BS,005,03,A
The Elder Scrolls III: Morrowind: Game of the Year Edition,,,,BS,005,04,
The Elder Scrolls III: Morrowind: Game of the Year Edition,Europe,Original,BS00505E,BS,005,05,E
IHRA Drag Racing 2004,USA,Original,BS00601A,BS,006,01,A
Call of Cthulhu: Dark Corners of the Earth,USA,Original,BS00701A,BS,007,01,A
Call of Cthulhu: Dark Corners of the Earth,Europe,Original,BS00702E,BS,007,02,E
,,,,BS,008,,
AMF Bowling 2004,USA,Original,BS00901A,BS,009,01,A
Malice,USA,Original,BS01001A,BS,010,01,A
Power Drome,USA,Original,BS01101A,BS,011,01,A
Powerdrome,Europe,Original,BS01102E,BS,011,02,E
IHRA Professional Drag Racing 2005,USA,Original,BS01201A,BS,012,01,A
,,,,BS,013,,
,,,,BS,014,,
High Rollers Casino,USA,Original,BS01501A,BS,015,01,A
,,,,BS,016,,
IHRA Drag Racing: Sportsman Edition,USA,Original,BS01701A,BS,017,01,A
Breeders' Cup: World Thoroughbred Championships,USA,Original,BS01801A,BS,018,01,A
,,,,BS,019,,
AMF Xtreme Bowling,USA,Original,BS02001A,BS,020,01,A
,,,,,,,
Double-S.T.E.A.L,Japan,Original,BU00101J,BU,001,01,J
Double-S.T.E.A.L,Japan,Demo,BU00250J,BU,002,50,J
Double-S.T.E.A.L: The Second Clash,Japan,Original,BU00401J,BU,004,01,J
,,,,,,,
Tron 2.0: Killer App,"USA, Europe",Original,BV00102W,BV,001,02,W
Disney's Chicken Little,Europe,Original,BV00201W,BV,002,01,W
Disney's Chicken Little,France,Original,BV00202E,BV,002,02,E
Disneys Himmel und Huhn,Germany,Original,BV00203E,BV,002,03,E
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",USA,Original,BV00301K,BV,003,01,K
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Europe,Original,BV00302E,BV,003,02,E
,,,,BV,003,03,
Die Chroniken von Narnia: Der König von Narnia,Germany,Original,BV00304E,BV,003,04,E
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,USA,Original,BV00401A,BV,004,01,A
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Europe,Original,BV00402E,BV,004,02,E
,,,,,,,
Robot Wars: Extreme Destruction,,,,BW,001,01,
Robot Wars: Extreme Destruction,Europe,Original,BW00102E,BW,001,02,E
,,,,,,,
Genma Onimusha,,,,CC,001,01,
Genma Onimusha,Europe,Original,CC00102E,CC,001,02,E
Genma Onimusha,Japan,Original,CC00103J,CC,001,03,J
Genma Onimusha,USA,Original,CC00104A,CC,001,04,A
Steel Battalion,USA,Original,CC00201A,CC,002,01,A
Steel Battalion,Europe,Original,CC00202E,CC,002,02,E
Tekki,Japan,Original,CC00203J,CC,002,03,J
Dino Crisis 3,,,,CC,003,01,
Dino Crisis 3,Europe,Original,CC00302E,CC,003,02,E
Dino Crisis 3,Japan,Original,CC00303J,CC,003,03,J
Dino Crisis 3,"USA, Asia",Original,CC00304K,CC,003,04,K
UFC: Ultimate Fighting Championship 2: Tapout,Japan,Original,CC00401J,CC,004,01,J
Group S Challenge,,,,CC,005,01,
Group S Challenge,,,,CC,005,02,
Group S Challenge,Europe,Original,CC00503E,CC,005,03,E
Circus Drive,Japan,Original,CC00504J,CC,005,04,J
Group S Challenge,USA,Original,CC00505K,CC,005,05,K
Genma Onimusha,Japan,Demo,CC00650J,CC,006,50,J
Marvel vs. Capcom 2: New Age of Heroes,Japan,Original,CC00701J,CC,007,01,J
Marvel vs. Capcom 2: New Age of Heroes,USA,Original,CC00702A,CC,007,02,A
Marvel vs. Capcom 2: New Age of Heroes,Europe,Original,CC00703E,CC,007,03,E
Capcom vs. SNK 2 EO,Japan,Original,CC00801J,CC,008,01,J
Capcom vs. SNK 2 EO,USA,Original,CC00802A,CC,008,02,A
Capcom vs. SNK 2 EO: Mark of the Millennium 2001,Europe,Original,CC00803E,CC,008,03,E
Steel Battalion: Line of Contact,World,Original,CC00901W,CC,009,01,W
